Abarca Vargas, Roberto Antonio sustentante   Clinica de gineco-obstetricia /   [1960?]
Madrigal Perez, Rogelio sustentante   Tecnica y programa en la perforacion y terminacion de los pozos en el Campo de La Venta, Tabasco /   1960
Madrigal Victoria, Eduardo sustentante   Aplicacion del procedimiento de calculo denominado metodos numericos a la solucion de arcos /   1960
Maeda Villalobos, Arnoldo sustentante   Planta de tratamiento e introduccion de drenaje para la ciudad de Matamoros de La Laguna Coahuila /   1960
Maldonado Guerrero, Elvira sustentante   Seleccion y articulacion de los dientes artificiales /   1960
Maldonado Martinez, J. Ascencion sustentante   La reforma agraria en Cuba /   1960
Maldonado Zambrano, Dario, sustentante   La prueba hematológica aplicada a la investigación de la paternidad /   1960
Malpica Lazo, Gabriel Hamilcar sustentante   Explotacion del caolin en el municipio de Zinapecuaro del estado de Michoacan /   1960
Maluf Gallardo, Antonio sustentante   Concesiones en materia de energia electrica /   1960
Mangas Ortiz, Fernando sustentante   La lesion en el derecho civil /   1960
Mangino Urrutia, Angel sustentante   Sugerencias al sistema urbano de transpotes en la Ciudad de Mexico y sus terminales /   1960
Manzano Vargas, Jorge sustentante   Estudio a escala de laboratorio sobre las principales variables de extraccion para la cuticula de henequen en el proceso filtrex /   1960
Margalli Enriquez de Rivera, Arturo sustentante   El juicio de amparo en materia administrativa /   1960
Marino García, Samuel sustentante   El aborto sufrido /   1960
Mariscal Vasquez, Cesar Augusto sustentante   La plenitud del orden juridico y la analogia en el derecho penal /   1960
Maroun Maquivar, Victor sustentante   La inseminacion artificial en el ganado vacuno lechero de la region de la capital del estado de Durango /   1960
Marquez Castro, Luis sustentante   Estudio social economico zootecnico de las granjas ejidales de la Comarca Lagunera /   1960
Martinez Alomia Lavin, José sustentante   Breves observaciones sobre el anteproyecto al Codigo de procedimientos civiles para el Distrito y Territorios Federales de 1948 /   1960
Martinez Ayanegui, Leticia sustentante   La simulacion en los derechos juridicos /   1960
Martinez Barron, Miguel sustentante   Aspectos contable y fiscal de las utilidades interdepartamentales /   1960
Martinez Caletti, Elsa Ma. del Carmen sustentante   Analisis de la semilla de tamarindo /   1960
Martinez Cano, Pablo sustentante   La adopcion /   1960
Martinez D' Meza, Silva Maria Eugenia sustentante   Organizacion Exterior para el fomento y promocion del Turismo Extranjero a Mexico /   1960
Martinez del Campo, Luis sustentante   Servicios municipales en Morelia, Michoacan, jefatura de policia, estacion central de bomberos /   1960
Martinez Espinosa, Constantino sustentante   El cambio de nombre en el Codigo civil para el Distrito y Territorios Federales /   1960
Martinez, Filemon sustentante   El allanamiento a la demanda /   1960
Martinez García, Felipe sustentante   Resoluciones y recursos en el derecho procesal civil /   1960
Martínez Gil, José de Jesús sustentante   La comision nacional de seguros /   1960
Martinez Hernandez, Elizabeth sustentante   Valoracion de piribenzamina con sulfocianuro de cinc : aplicacion del metodo de Orlova y Portnov /   1960
Martinez López, José E. sustentante   Terminal de pasajeros F.F.C.C. Uruapan, Michoacan /   1960
Martinez López, Juan José sustentante   Algunos aspectos sobre la estructura economica, de Nicaragua sus industrias tenera y del calzado /   1960
Martinez Martel, Victor Manuel sustentante   Reparacion mayor de pozos en el distrito de Reynosa /   1960
Martinez Mendez, Eloisa sustentante   Influencia de aceites en la produccion de antibiotico por una cepa de Streptomyces /   1960
Martinez Ortiz, Nicolas sustentante   Importancia de la anestesia extraoral en odontologia /   1960
Martinez Rincon, Alberto sustentante   La auditoria e interpretacion de los estados financieros en los bancos de deposito /   1960
Martinez Romero, Enrique sustentante   Proyecto de un puente para ferrocarril sobre el Rio Tuxpan, Jalisco /   1960
Martinez Rosano, Alfredo sustentante   Estudio para la obtencion de esteres de resinas epoxi /   1960
Martinez Rosas, Angel sustentante   Calculo y construccion de un edificio de apartamentos /   1960
Martinez Sida, Amparo sustentante   Estudio de diversos metodos para valorar el clorhidrato de apresolina /   1960
Mascarva Barragan, Osbahal Miguel sustentante   La acción de peticion de herencia /   1960
Mavil Bueno, Ruben Humberto sustentante   Fracturas y desplazamientos en incisivos permanentes jovenes /   1960
Maya Gateno, Leon sustentante   Aislamiento y elucidacion de la estructura de un nuevo sesquiterpeno procedente de la flourensia resinosa /   1960
Maya Suarez, Noe sustentante   Terminologia de albanileria y balance de obras /   1960
Maza Alvarez, José Antonio sustentante   Calculo hidraulico de la obra de desvio de la Presa Morelos, Gro. utilizando simultaneamente sistema de tuneles y bajos /   1960
Medina Camargo, Gustavo sustentante   Ensayo comparativo del rendimiento en peso de aves operadas : ablacion de la bolsa de Fabricio y aves normales /   1960
Medina Gamez, Manuel de Jesus sustentante   Situacion juridica del ofendido en el proceso penal /   1960
Medina Serrano, Mario sustentante   La defensa como institucion juridica en el procedimiento penal mexicano /   1960
Medrano Ortiz, Lilia sustentante   Del titulo de capitalizacion /   1960
Medrano Pineda, Gilberto sustentante   Estudio comparativo de la determinacion de las gamma globulinas sericas por el metodo GG-test con los metodos colorimetrico, electroforetico y turbidimetrico /   1960
Medrano Rivera, Guadalupe Teresa sustentante   Espacio ultra-atmosferico y la soberania /   1960
Meguro Y., Miguel T. sustentante   Paso a desnivel de la Calzada de Tlalpan y Ramos Millan /   1960
Meijveiro Morosini, Ma. de las Mercedes Margarita sustentante   Determinacion versenometrica de zinc en presencia de cobre, cobalto y niquel /   1960
Mejenes Quijano, Ricardo sustentante   Ampliacion de una planta de beneficio de caolin para pigmento de papeles recubiertos : proceso humedo /   1960
Mejia Fernandez, Alfonso sustentante   La auditoria de las funciones de la gerencia de las empresas /   1960
Melgar Herrera, Otto Ramiro sustentante   Informe sobre la incidencia de la brucelosis en bovinos productores de leche confinados y semiconfinados en el D.F. /   1960
Menchaca Rosales, Eduardo sustentante   Influencia de la temperatura y tiempo de hidrolisis en la eliminacion de pentosanas y cenizas de la pulpa al sulfato de pino /   1960
Mendez Aldama, Ma. Angela Eloina sustentante   Indicaciones generales para el mantenimiento de las dentaduras totales /   1960
Mendez Palma, Manuel sustentante   Estrellas con gran contenido de hielo /   1960
Mendoza Chávez, Manuel sustentante   Estudio comparativo y critica al procedimiento penal en el fuero comun /   1960
Mendoza Gil, Judith sustentante   Nociones sobre dientes incluidos /   1960
Mendoza Montiel, Benjamin sustentante   Diseno de pavimentos flexibles /   1960
Mendoza Morfin, Eduardo sustentante   Empresas ensambladoras de radios y sus problemas contables /   1960
Mendoza Rojas, José sustentante   Concepto moderno del derecho de propiedad /   1960
Mercado Munguia, Magdalena sustentante   Mantenedores de espacio /   1960
Meza A., José sustentante   Centro de turismo obrero en Acapulco Guerrero /   1960
Meza Galindo, Sara Elvia sustentante   Efectos electricos y de resonancia de los sustituyentes en el anillo aromatico sobre la intensidad de absorcion del grupo carbonilo de esteres metilicos del acido benzoico /   1960
Midence Castillo, Roberto Enrique sustentante   Diseno plastico de la estructura de acero del cuerpo II del centro pedagogico /   1960
Mier y Torres, José sustentante   Estudio localizacion y proeycto de construccion del crucero 5-43 N en el fundo minero "Cucharas" ubicado en el municipio de Huajicori, Nay. /   1960
Mijas Mendez, Miguel sustentante   Aprovechamiento de la piel de iguana en la industria peletera /   1960
Millán Rueda, Mario G. sustentante   Centro urbano para burocratas en Tampico, Tamps. /   1960
Minvielle M., Carlos sustentante   Intervencion de la Secretaria de Relaciones Exteriores en las sociedades mercantiles /   1960
Mixcoatl Vazquez, Rosalio sustentante   El concubinato y su regimen legal /   1960
Moctezuma de la Rosa, Gabriel sustentante   Contrato de garantia personal fianza civil /   1960
Molina Durán, Heriberto sustentante   Influencia de las nuevas normas para diseño sismico en el costo de la estructura de un edificio /   1960
Molina Duron, Heriberto sustentante   Influencia de las nuevas normas para diseño sismico en el costo de la estructura de un edificio /   1960
Molinero García, Lydia sustentante   Estudio de la deshidratacion del platano /   1960
Molinet Rubio, Gilberto sustentante   El problema de las partes en el proceso penal /   1960
Montagut Bosque, Pilar sustentante   Influencia de las fuentes de carbono en la produccion de antibioticos /   1960
Montaño Cobian, Ramon sustentante   Perfil de la reforma agraria el estado de Colima /   1960
Montemayor E., T. Rolando sustentante   Estudio sobre la obtención de diclorobencenos /   1960
Montemayor García, Ma. de las Mercedes sustentante   Estudio quimico de la tecnologia de las lacas michoacanas /   1960
Montemayor J., Rene J. sustentante   Aeropuerto Internacional Monterrey, N.L. /   1960
Montes Lozano, Juan sustentante   Calculo de la superficie de evaporacion adicional para una molienda de 4,200 toneladas de cana en 24 hrs para el ingenio central Matzorongo /   1960
Montes Tamayo, Gustavo sustentante   Principios generales de exodoncia /   1960
Montoya Leon, Horacio sustentante   Incrustaciones de primera y segunda clase de oro /   1960
Mora Montes, Ricardo sustentante   El aspecto financiero de las decisiones administrativas /   1960
Mora Ostos, Luis Felipe de la sustentante   Urbanizacion de la parte sur de la ciudad de Celaya Gto. /   1960
Mora y Bermejillo, Manuel de la sustentante   Proyecto de un hotel en Sihoplaya, Campeche /   1960
Moral Torres, Mario del sustentante   Estudio citologico comparativo de los elementos figurados de la sangre en algunos mamiferos /   1960
Morales Armendariz, Raul sustentante   Contra garantias en la fianza de empresa /   1960
Morales Castro, Isaac sustentante   La providencia precautoria de arraigo de personas /   1960
Morales Escalante, Gabriel sustentante   Aspectos juridicos del problema inquilinario en Mexico /   1960
Morales Rosas, Jorge sustentante   Granja para enfermos epilepticos /   1960
Morales Sanchez, Alejandro sustentante   Ensayo fotocolorimetrico para la determinacion cuatitativa de taka-diastasa /   1960
Morales Segovia, Ezequiel sustentante   El azufre de Mexico de extraccion natural y su aplicacion en la industria del hule /   1960
Morales Vallarta, Mario sustentante   Tres ensayos de reflexion materialista : conocimiento, hombre y derecho /   1960
Morales y Samayoa, Cecilia Myriam sustentante   Estudios sobre nuevas fuentes de proteinas absorcion y retencion del nitrogeno de una dieta de harina de semillas de algodon /   1960
Moran de Leon, Luis sustentante   Los regimenes fiscales enfocados a las industrias nuevas y necesarias /   1960
Moreno Bonett, Alberto sustentante   Algunos efectos del golpe de ariete en sistemas de bombeo /   1960
Moreno Lamont, Pablo sustentante   Proyecto de un paso a desnivel en el cruce de las vias "N" y "C" con la Avenida Plan de San Luis /   1960
Mortera Barrelangue, Juan José sustentante   Alcantarillado en ciudad Hidalgo, Michoacan /   1960
Motolinia Ruiz, Dario sustentante   Diseno de una planta mezcladora de concreto para colado continuo /   1960
Moya Cuevas, Fernando sustentante   Bosquejo geologico de los campos Hormiguero y Cantemoc localizados en el estado de Tabasco /   1960
Moyano Benitez, Francisco sustentante   Determinacion de molibdeno con la sal disodica del acido etilen diamino tetra acetico y su estudio comparativo con otros metodos /   1960
Muentes Delgado, Galo V. sustentante   La banca comercial en el Ecuador /   1960
Munguia Mercado, Edmundo sustentante   Estado actual de la ganaderia en el municipio de Nogales, Sonora, en sus aspectos medico, higienico, economico y zootecnico /   1960
Muñoz Gonzalez, Maximo sustentante   Explotacion de fluorita, en el estado de Guanajuato /   1960
Mureddu Torres, Teobaldo sustentante   Panorama juridico de las zonas federales : una vision a traves de las maniobras /   1960
Murgarro Coronado, Ricardo sustentante   Analitica substancial y funcional al margen del articulo 16 del Codigo civil mexicano vigente para el Distrito y Territorios Federales /   1960
Murguia Rosete, Maria Esperanza sustentante   Acetificacion de azucares del agave tequilana /   1960
Murray Lasso, Daniel sustentante   Aplicaciones del aire comprimido a cimentaciones maritimas /   1960
Napoles Grajeda, Jorge sustentante   La colaboracion de los particulares en el regimen de la seguridad social /   1960
Narro García, Carlos sustentante   Estudio de la agitacion en vasos portuarios por medio de modelos reducidos /   1960
Narro García, Carlos sustentante   Estudio de la agitacion en vasos portuarios por medio de modelos reducidos /   1960
Narro Siller, Roberto sustentante   Organizacion administrativa de la inspeccion federal del trabajo en Mexico /   1960
Nasielskier Bergson, Juan sustentante   Regeneracion de una zona decadente en el D.F. /   1960
Nava Cordova, Marcos sustentante   Modelo hidraulico de la Presa Alvaro Obregon /   1960
Nava San Roman, Ernesto sustentante   Intituto Mexicano de Turismo /   1960
Nava y Gaytan, Manuel sustentante   Dolores, proyectos columbarios /   1960
Navarrete Hernandez, Francisco sustentante   Odontologia psicosomatica e integracion hipnologica a la estomatologia /   1960
Navarro Arenas, Eugenio sustentante   El seguro maritimo /   1960
Navarro Sánchez, Enrique sustentante   El ejercicio de la acción penal como poder-deber del ministerio publico /   1960
Negrete Frias, Alberto sustentante   Las analogias electromecanicas y sus aplicaciones industriales /   1960
Negron Rubio, Mario Roman sustentante   Accidentes por anestesis local en exodoncia /   1960
Nieto Estrada, Margarito sustentante   Los beneficios de orden y de escursion en el contrato de fianza /   1960
Noriega Coello, Carlos sustentante   Proyecto de hospital para caninos y felinos /   1960
Noriega Giral, Luis sustentante   Diseno mecanico de una planta termoelectrica de turbinas de gas /   1960
Noriega Pedregal, Emilio sustentante   Anteproyecto de una planta para la obtención de furfural a partir de la paja de arroz /   1960
Noriega Vivanco, J. Humberto sustentante   Aspectos contables de la industria camaronera /   1960
Nurko Gardinsky, Nahum sustentante   Obtencion electrolitica del persulfato de amonio por medio de celdas con diafragma /   1960
Obaldia Alvarado, Raul de sustentante   Contribucion al estudio de la acción del extracto de bazo sobre el desarrollo del pollo de engorda en una explotacion avicola comercial /   1960
Obregon Cruz, Rafael sustentante   Ingenio azucarero y campamento permanente en el Edo. de Chiapas /   1960
Ocampo Monroy, Estelvina sustentante   Cavidades clase II para incrustaciones en dientes temporales /   1960
Ocampo Zapata, Ruben sustentante   Alveolotomia /   1960
Ochoa Monterrosa, Eduardo sustentante   La Nacionalidad como punto de conexion /   1960
Ochoa Monterrosa, Martha sustentante   Diferentes factores que debemos tener en cuenta al iniciar nuestra practica profesional /   1960
Ochoa Rodriguez, Ma. Guadalupe sustentante   Estudio de algunas caracteristicas de ciertas fitoaglutininas /   1960
Olachea Borbon, Agustin sustentante   Las finanzas publicas en el territorio de Baja California /   1960
Olguin Romero, Delia sustentante   Estudio analitico de las interferencias zinc mercurio, cadmio y niquel en la determinacion de manganeso con E.D.T.A. /   1960
Oliva Gonzalez, Ignacio sustentante   Comparacion de diseño plastico y diseño elastico /   1960
Oliva Herrera, Francisco sustentante   Reparacion de la Columna de la Independencia /   1960
Oliva Herrera, Francisco sustentante   Reparacion de la Columna de la Independencia /   1960
Oliva Purata, Rogelio sustentante   Proyecto de silos para almacenar sosa granulada /   1960
Olivares Ballesteros, Aurora sustentante   Pruebas de asimilacion de compuestos carbonados en los actinomycetos /   1960
Olivera López, Elsa sustentante   Intensidad de absorción en el infrarrojo y ultravioleta de benzoatos de metilo para substituidos /   1960
Olvera Díaz, Sergio sustentante   Calculo del puente definitivo sobre el Rio Atoyac /   1960
Orellana Wiarco, Miguel Angel sustentante   Proyecto para la instalacion de una red de distribucion de gas a los calentadores de las nuevas plantas de la refineria Madero /   1960
Ornelas Granadino, Marcos sustentante   Proposicion para un camino vecinal en el sureste /   1960
Ornelas Yturbe, Mariano sustentante   La exodoncia : accidentes y tratamientos inmediatos /   1960
Orozco Escudero, Fernando sustentante   Labotratorio de productos quimico farmaceuticos /   1960
Ortega Corona, Bertha Gloria sustentante   Estudio cromatografico de los aminoacidos del higado de la rata normal y de la rata en hipo e hiperglucemia /   1960
Ortega Gonzalez, Rafael sustentante   Proyecto de un puente en el Km. 148+400 del camino Oaxaca-Puerto Escondido, sobre el Rio Juchatengo /   1960
Ortega Marin, Renan sustentante   Metodos para establecer el control terrestre para los levantamientos foto-aereos /   1960
Ortega Noriega, Sergio, 1933-2015 sustentante   Sistema de reactores continuos en cascada /   1960
Ortega Puerto, Mizar sustentante   Fundamentos de auditoria ensayo de integracion teorica /   1960
Ortega Rivero, Salvador sustentante   Hospital para tuberculosos avanzados en la Cd. de Mexico con capacidad para ciento cincuenta camas /   1960
Ortega Rubio, Carlos sustentante   Informe economico zootecnico de la zona comprendida en el municipio de Tepatitlan, Jal. /   1960
Ortiz Aponte, Alfredo sustentante   Edificio de concreto reforzado con estacionamiento en la planta baja /   1960
Ortiz Arroyo, Esteban sustentante   Preparacion y presentacion de los estados financieros por el auditor independiente /   1960
Ortiz Cabrera, Luis F. sustentante   Ley sobre el servicio de vigiliancia de fondos y valores de la federacion /   1960
Ortiz Cárdenas, Carlos sustentante   Accion de los compuestos hidrosolubles de la trementina en la ampliacion del poder inhibidor del sulfato de dihidro estreptomicina /   1960
Ortiz Chávez, Cesar sustentante   Gastos de operacion su examen en la auditoria de estados financieros y breves comentarios sobre su control y análisis /   1960
Ortiz Fernandez, José Antonio sustentante   Estudio sobre las principales afecciones de las glandulas salivales /   1960
Ortiz Macedo, Luis sustentante   La conservacion de los monumentos historicos y artisticos en Mexico /   1960
Osio Quezada, Angela Elvia sustentante   Estudio espectrofotometrico de la reaccion de Deniges /   1960
Osorio R., J. Carlos sustentante   Necesidad de un codigo aeronautico mexicano /   1960
Ostolaza Selien, Nemesio sustentante   La contabilidad como auxiliar de la direccion en las empresas modernas /   1960
Osuna Coronado, Fernando sustentante   Calculo y diseño de la estructura y cimentacion de un edificio de 8 pisos de concreto reforzado /   1960
Ovseyevitz Stern, Moises Mauricio sustentante   Estudio comparativo de diversos tipos y calidad de concreto aplicadas a una estructura /   1960
Oyarzabal, Juan B. de sustentante   Distribuciones angulares en la desintegración beta /   1960
Pacheco Cortés, Tito C. sustentante   Abastecimiento de agua y alcantarillado en Zumpango /   1960
Paczka Sanchez, Francisco sustentante   Sugestiones urbanisticas y centro cultural en Teotihuacan /   1960
Padilla de Alba, Felipe sustentante   La proteccion del trabajador mexicano en el extranjero /   1960
Palacios García, Carolina sustentante   Incidencia lambliasica y tratamiento en los ninos de la guarderia del Hospital General /   1960
Palacios Velazquez, José Luis sustentante   Determinacion volometrica de aluminio en presencia de hierro, titanio, calcio, silice y otras impurezas /   1960
Palazuelos Gomez, Felix sustentante   La auditoria de estados financieros /   1960
Pampin Reineri, José Luis sustentante   Estudio sobre algunas transformaciones del jugo de maguey por via microbiologica /   1960
Paramo Díaz, Juan José sustentante   El principio de la retroactividad en el derecho administrativo /   1960
Parres Telles-Giron, José A. de sustentante   Proyecto de un puente en la nueva carretera Mexico-Puebla sobre la Barranca del Emperador /   1960
Pasini García, Lamberto sustentante   Sociedad agraria centro social de la comunidad /   1960
Pastrana Manzanilla, Juan sustentante   Aeropuerto y el turismo en Yucatan /   1960
Pastrana Mondragon, Gerardo Antonio sustentante   Invariantes estructurales de una barra plana en balcon /   1960
Pedro Huesca, Ramon de sustentante   Principales problemas en las expansiones industriales /   1960
Pena Cárdenas C. de la sustentante   Educacion elemental de la Republica (1947-1957) /   1960
Pena Limon, Carlos Enrique sustentante   Diseno preliminar de un reactor de lecho fluidizado para la reduccion de minerales de hierro /   1960
Pena Ramos, Oscar sustentante   Explotacion y concentracion de minerales de Sombrerete, Zacatecas /   1960
Penagos Iris, Gilberto sustentante   Calculo y diseño de una estructura de concreto para un edificio de departamentos en la Ciudad de Mexico /   1960
Peralta Marin, Cesar Hector sustentante   Estudio y modificaciones de un metodo para la determinacion de yodo proteico /   1960
Peraza Alvarado, Gorkina sustentante   Valoracion de acido mandelico y mandelato de metenamina /   1960
Perez Aguilar, Jaime Alfonso sustentante   Condicion juridica del inmigrante en Mexico /   1960
Perez Cuellar, Santiago sustentante   Diseno de una planta desaladora para el Campo Sanchez Magallanes, Tabasco /   1960
Perez Gonzalez, Carlos sustentante   La capacidad como elemento del acto juridico /   1960
Perez Liminana, Antonio sustentante   Cooperativa Comunidad Pesquera Yaqui en las Guasimas, Son. /   1960
Perez López, Jeisira sustentante   Sobre la duracion del contrato individual de trabajo /   1960
Perez Lorenzo, Ma. Elena sustentante   Estudio de proteinas totales, albuminas y globulinas del suero sanguineo por el metodo turbidimetrico de Aull y Colab, comparado con los metodos de Kingsley y Greember /   1960
Perez Nava, José sustentante   La reincidencia /   1960
Perez Roman, Jorge sustentante   Centro de descanso para burocratas en Valle de Bravo, Edo. de Mexico /   1960
Perilliat Montoya, Maria del Carmen sustentante   Moluscos del mioceno de la cuenca salina del Istmo de Tehuantepec, Mexico /   1960
Perozo Antunez, Ivan sustentante   Datos hidrometricos y estudios hidrologicos necesarios para la planeacion de obras hidraulicas de usos multiples /   1960
Pesquira Olea, Eduardo sustentante   Limitaciones constitucionales a la capacidad de las instituciones bancarias para adquirir inmuebles /   1960
Pier Garza, Domingo sustentante   Motor monofasico de induccion de arranque por capacitor /   1960
Pina Perez, Isaac sustentante   La tecnica juridica /   1960
Pindter Vega, Julio sustentante   Concreto en grandes masas /   1960
Pinero Ramirez, Fernando sustentante   Analisis de los depositos de variscita de; area Herradura-Pozo Salado, S.L.P. /   1960
Plasencia Gutierrez, Alfonso L. sustentante   Clinica infantil en Mexico Distrito Federal /   1960
Plasencia Montero, Carlos sustentante   Alcantarillado en Frontera, Tabasco /   1960
Ponce Arteaga, Jesus sustentante   Regimen juridico de la expropiacion publica en Mexico /   1960
Ponce Zamora, Juan Gabino sustentante   Analisis cuantitativo de una cromita mexicana /   1960
Pontecorvo Bachi, Lucio sustentante   Teoria y aplicacion de los transistores en circuitos de conmutacion /   1960
Ponzanelli F., Alberto sustentante   La proteccion diplomatica /   1960
Portales Rivera, Luis sustentante   Amplificacion magentica : sus aplicaciones en los sistemas de regulacion /   1960
Posada Castaneda, José sustentante   Breve estudio de algunos problemas que plantea al contador publico la fusion de sociedades mercantiles /   1960
Poujol Matamoros, Ricardo sustentante   Plan Hospitalario Nacional-Hospital de Emergencia en Tegucigalpa, Republica de Honduras /   1960
Prado F., Ma. Guadalupe sustentante   Determinacion cuantitativa de lisina meteonina y triptofano en levaduras /   1960
Prats Gonzalez, Luis Alonso sustentante   Centro de difusion cultural en Cuicuilco, D.F. /   1960
Priami Pina, José Antonio sustentante   Casa del Lago en el Bosque de Chapultepec /   1960
Prian Caletti, Leonor E. sustentante   Tecnicas de exploracion psicologica en la orientacion profesional universitaria (arquitectura) /   1960
Prieto Aceves, Carlos, sustentante   Integración económica y comunidad internacional /   1960
Prieto Fernandez, Joaquin sustentante   Centro Industrial en Monterrey, N.L. /   1960
Prieto Fortuna, Guillermo sustentante   Los puertos libres : el sistema Coatzacoalcos- Salina Cruz /   1960
Pulido Alvarez, Rebeca sustentante   El Estado interventor y sus organismos de operacion desconcentrada : el caso de los Talleres de la Nacion /   1960
Quintanilla Echegoyen, Carlos sustentante   Centro turistico y locales para convenciones y congresos en el Distrito Federal /   1960
Quintanilla Jarquin, José sustentante   Estudio sobre el cambio de frecuencia de 50 a 60 ciclos en la planta hidroelectrica de Mazatepec, Puebla /   1960
Quintero Abrego, Ana sustentante   Rehabilitacion quirurgica maxilo-facial /   1960
Quiros Sanabria, José Francisco sustentante   Padecimientos de la articulacion temporomandibular /   1960
Rajsbaum Klajnberg, Benito sustentante   Transformadores de devanados multiples /   1960
Ramirez Barranco, Martha sustentante   Estudio del metodo ferricianometrico para la valoracion volumetrica del acido ascorbico /   1960
Ramirez Bravo, Pascual sustentante   Planeacion economica de Las Huastecas /   1960
Ramirez de Arellano Aburto, Nicolas sustentante   Produccion de acido giberelico por una cepa de fusarium moniliforme /   1960
Ramirez de Arellano Alvarez, Ma. Eugenia sustentante   Acondicionamiento de aire en un laboratorio de pruebas fisicas para materiales textiles /   1960
Ramirez MacNaught, Dario Edgar sustentante   Diseno de las tuberias de revestimiento para un pozo de 5.000 mts. /   1960
Ramirez Malpica, Roberto sustentante   Estudio tecnico sobre traccion electrica /   1960
Ramirez Zepeda, Enrique sustentante   Sociedades de inversion y análisis de su cartera /   1960
Ramos Salido, Francisco sustentante   Estudio de una laca en aerosol /   1960
Ramos Salido, José Maria sustentante   Instalacion y operacion del Laboratorio de Electronica de la Facultad de Ingenieria /   1960
Rangel Aguirre, Antonio sustentante   Estudio de suelos para el proyecto y construccion del camino Mexico a Puebla tramo : Ayotla-San Martin Texmelucan Kms. 25 y 90 con origen en Mexico /   1960
Rangel Borja, Edmundo sustentante   Estudio topografico, proyecto localizacion y trazo de una "y" en la estacion de Amozog Pue. de los F.F.C.C. Nacionales de Mexico /   1960
Rangel Velazquez, José Antonio sustentante   Jardin de exhibicion botanica /   1960
Razo Montiel, Antonio sustentante   Estudio geologico de la porcion sur de la Sierra de la Cal y del prospecto minero La Preciosa, municipio de Nazas estado de Durango /   1960
Real Onate, Rosalia del sustentante   Cromatografia simultanea de diversos metabolitos del triptofano /   1960
Rebollar Corona, Luis sustentante   Proyecto de una planta de cadminizado /   1960
Rebolledo Muñoz Ledo, Enrique sustentante   Terminacion de pozos en el Campo Hallazgo, Ver. /   1960
Renteria Alconedo, Enrique sustentante   Procedimientos topograficos necesarios para el levantamiento, proyecto y replanteo del Fraccionamiento Jardines de Tapachula, Chis. /   1960
Resano Gonzalez, Isabel sustentante   Dispersiones acuosas de proteina de ajonjoli : investigacion sobre su obtencion en diferentes condiciones /   1960
Resendiz Serrano, Carlos sustentante   Conceptos generales de prostodoncia total inmediata /   1960
Reta Petterson, Gustavo sustentante   Identificacion de los grupos sanguineos en lineas puras de gallinas Rhode Island rojas /   1960
Revah Revah, Tilda sustentante   Estudio sociologico de un grupo de sentensiados en el Distrito Federal /   1960
Rey Conde López, Ma. Margarita sustentante   Determinacion volumetrica del aluminio con acido fosforico /   1960
Reyes Blanco, Maria Elena sustentante   Breves metodos de prevencion a la caries /   1960
Reyes Perez, Carlos sustentante   La propiedad especial agraria /   1960
Reyes Rivera, Abel sustentante   Deionizacion en lecho mixto /   1960
Reyna Ruiz, Gustavo Adolfo sustentante   Estudio de la acción de antibioticos de uso oral sobre lactobacillus variedad Moro y Grigoroff /   1960
Reza Becerril, Efren sustentante   Organizacion y financiamiento de las ventas en abonos, en una Cia. de bienes muebles /   1960
Reznik Kalinka, Manuel sustentante   Primera transmision a 250 000 volts en Mexico, de la planta de Mazatepec al Distrito Federal /   1960
Richards Campbell, Jorge sustentante   Espectos nucleares de F20, 017 y 016a partir de reacciones (d,p) (d,a) y (p,a) en F19, empleando energias incidentes de 1.8 mev. /   1960
Rickards Campbell, Jorge sustentante   Espectros nucleares de F20, O17 y O16 a partir de reacciones (d,p) (d α[alfa]) y (p, α[alfa]) en F19, empleando energías incidentes de 1.8 MeV /   1960
Rio Muñoz de Cote, Eduardo del sustentante   Estudio geologico para la construccion de una presa en el sitio denominado "El Pujal" sobre el Rio Tampaon; municipio de Valles, S.L.P. /   1960
Rios Astorga, Tomas sustentante   Aspectos juridicos del silencio /   1960
Rios Espinoza, Alejandro sustentante   Amparo y casacion /   1960
Rios García, Luis Humberto sustentante   Endodoncia : generalidades y metodos de diagnostico /   1960
Rivadeneyra Farrera, Carlos sustentante   Proyecto de una planta para engomado de tapetes /   1960
Rivas Gomez, Higinio sustentante   Interpretacion del registro electrico y su aplicacion en la termiancion de pozos en el Campo de Ogarrio, Tab. /   1960
Rivas Gonzalez, Porfirio sustentante   El delito de cohecho /   1960
Rivas Perez, Alfonso sustentante   Estudio sobre la representacion politica /   1960
Rivera Arino, Isaac sustentante   Las fluctuaciones monetarias y el balance general /   1960
Rivera Aviles, Gustavo sustentante   Organizacion de una agencia publicitaria /   1960
Rivera Rio, Manuel sustentante   Hoteles nacionales para turistas, hoteles en Acapulco /   1960
Rivera Valencia, Josefina sustentante   Estudio sobre el control de fenomenos de flotacioan de pigmentos en esmaltes de horneo /   1960
Rivero Gómez, Salvador, sustentante   Centro de refrigeración y almacenamiento de productos agrícolas en Celaya, Gto. /   1960
Robles Glenn, Jorge sustentante   Diseno de una planta para el tratamiento de siete metros cubicos por segundo de aguas negras del canal del desague de la Ciudad de Mexico /   1960
Robles Martinez, Beatriz Elena sustentante   Influencia de ciertos factores ecologicos sobre la conducta del nino en el medio rural /   1960
Roca Gomez, Guillermo sustentante   Estudio de la estabilidad dimensional de las fibras de algodon en los acabados a base de resinas sinteticas /   1960
Rocha Díaz, Manuel sustentante   Nucleo ejidal cooperativo /   1960
