Abarca Vargas, Roberto Antonio sustentante   Clinica de gineco-obstetricia /   [1960?]
Campos Martin del Campo, Fernando M. sustentante   Los problemas del Derecho civil en el fideicomiso de herencia /   1960
Campos Pina, José Manuel sustentante   Proyecto de un edificio compuesto de dos cuerpos /   1960
Candia Flores, Juan R. sustentante   Habitacion tipo industrial multifamiliar en Veracruz, Ver. /   1960
Cano Vicario, Ariel sustentante   Saneamiento del agua /   1960
Canseco de la Fuente, German sustentante   El regimen de sociedad conyugal en el matrimonio /   1960
Cao García, Francisco sustentante   Analisis comparativo de costos para una estructura de concreto reforzado usando para el diseño de las piezas las teorias elastica y plastica /   1960
Cárdenas Jens, Jorge sustentante   Estudio de la responsabilidad civil /   1960
Cárdenas Mendoza, Hilda sustentante   Breve estudio de materiales restaurativos /   1960
Cárdenas Vargas, José sustentante   Estudio geologico de la porcion oriental del municipio de Camargo, Chih. /   1960
Carmona y Mendoza, Jesus sustentante   La acción hipotecaria y su reglamentacion procesal /   1960
Carreon Vargas, Arturo sustentante   Calculo de una cubierta formada por cascarones cilindricos para cubrir un local de 60 X 51 m. /   1960
Carrillo Gonzalez, Joaquin sustentante   La interpretacion judicial del Derecho /   1960
Carrillo Martinez, José sustentante   La Comision Nacional de seguros como organo administrativo de caracter tutelar /   1960
Carrillo Olivares, Humberto sustentante   Las tarifas en el transporte maritimo /   1960
Casta Navarro, Eduardo José sustentante   Centro civico en Tijuana, B. California /   1960
Castanon Canet, Manuel sustentante   Aplicacion de colorantes directos combinados con resinas sinteticas sobre tejidos de algodon /   1960
Castelan de la Concha, Sergio sustentante   Informe del servicio social efectuado en el municipio de Cuautepec, Hgo. /   1960
Castillo López, Hermenegildo sustentante   La facultad discrecional /   1960
Castillo M., Cesar Octavio sustentante   Lavado quimico de la planta T.C.C. de la Refineria de Minatitlan, Ver. /   1960
Castillo Macias, Raul sustentante   Diseno del equipo secador de tinta en maquinas rotativas para rotograbado /   1960
Castillo Mayorga, Felix sustentante   Relaciones entre Mexico y la Republica de El Salvador : examen historico diplomatico /   1960
Castillo Nieto, Patricio sustentante   Analisis tecnico economico basico para toda inversion en una industria quimica /   1960
Castillo Samano, Maximino sustentante   Calculo de la tuberia de ademe y terminacion de pozos en el Campo Ogarrio, Tab. /   1960
Castillo y de Llano, Cecilia sustentante   Problemas practicos en quimica legal que se pueden presentar en manchas de sangre /   1960
Castrejon Blando, José A. sustentante   Fabricacion y mantenimiento de herramientas para la produccion de perfiles de cobre y sus aleaciones /   1960
Ceceña Cervantes, José Luis sustentante   El mercado del tomate sinaloense /   1960
Cerecer Beltran, Maria de Jesus sustentante   Intencidad de absorcion del grupo carbonilo en benzaldehidos substituidos y su relacion con otras constantes fisicas /   1960
Cervantes Elias, Mario A. sustentante   Analisis y diseño de un cascaron para la cubierta de un local industrial /   1960
Cervantes Equiluz, Jorge sustentante   La auditoria interna su organizacion y actividades /   1960
Cervantes López, Javier sustentante   Metodo colorimetrico para determinacion de tetraetilplomo en las gasolinas y comparacion de este con otros existentes /   1960
Chomstein M., Boris sustentante   Costos industriales en fabricas de pinturas /   1960
Compean Toledo, Mario sustentante   Control interno y contabilidad (aspectos teoricos y principios generales) /   1960
Conde Pontones, Salvador del sustentante   Diseno de un transmisor de radiodifusion con potencia de salida de 100,000 watts /   1960
Contreras Juarez, Julio Eddie sustentante   Estudio medico sanitario y zootecnico de la explotacion bovina del municipio de Tempoal, Veracruz /   1960
Contreras M., Joaquin E. sustentante   Suministro de energia electrica en una central telefonica "7-E Rotary" /   1960
Contreras Pliego, Omar, sustentante   Las fuentes del derecho internacional privado mexicano /   1960
Contreras Tella, Humberto sustentante   Proyecto de un puente para camino sobre el Rio Verde, en la carretera San Luis Potosi-Ciudad Valles /   1960
Cordoba Mendez, Diego Arturo sustentante   Estudio geologico de reconocimiento de la region entre Rio Chico y Llano Grande, municipio de Durango, estado de Durango /   1960
Cordova Giron, Ernesto A. sustentante   Metodos y aparatos usados en el tratamiento de las fracturas de los maxilares /   1960
Coria García, Ignacio sustentante   La reforma agraria en la industria canera y en la legislacion /   1960
Cornejo Ferreiro, Antonio sustentante   Diseno completo de un edificio de departamentos /   1960
Coronado Perdomo, Dea sustentante   Control por el laboratorio de un caso de hemofilia vera operado /   1960
Correa Domínguez, Carlos A. sustentante   Diseno plastico de columnas de concreto reforzado /   1960
Corta Noriega, Vicente sustentante   Abastecimiento de agua potable en Coatepec, Edo. de Veracruz /   1960
Corte Ramirez, José Luis sustentante   Estudio para la localizacion de un puerto en la zona del bajo Rio Balsas /   1960
Cortes Arcos, Alfredo, 1935- sustentante   La rabia, su estado actual y recomendaciones para su control en el Distrito Federal /   1960
Cortés Cervantes, Rene sustentante   Estudio y evaluacion del control interno en las instituciones de credito /   1960
Cortés Neyra, Roberto sustentante   Proyecto definitivo de una superestructura de concreto armado para puente /   1960
Cortez Calderon, Mauricio Edgardo sustentante   Simusitis maxilar tratamiento medico y quirurgico /   1960
Cortinas Arana, Lucila sustentante   Estudio general de la colonia Reforma Social /   1960
Cosio Pascal, Adriana sustentante   El cine y su relacion con algunos rasgos de la personalidad /   1960
Covarrubias Martinez, José sustentante   Integracion de las operaciones de reaseguro de una aseguradora de danos a las maquinas de tarjetas perforadas /   1960
Covarrubias O., Miguel Angel sustentante   Coeficientes para el diseño de losas perimetrales sujetas a cargas lineales /   1960
Cruz Beauregard, Abelardo sustentante   Estudio del proceso constructivo del dique de la margen izquierda de la presa de "La Soledad" y consideraciones sobre el análisis de la estabilidad de la misma /   1960
Cruz Escarcega, Maria Amelia sustentante   Investigacion fundamental sobre el comportamiento degradativo del parenquima de henequen sometidos a la acción espontanea de microorganismos contaminantes /   1960
Cruz Escarcega, Virginia sustentante   Aplicabilidad del metodo de Shchigol y Burchinskaya para la valoracion del cine en diferentes productos farmaceuticos /   1960
Cruz Guzman, Maria Teresa sustentante   Patologia de oesophagostomum (Conoweberia) Aculeatum Linstow 1879 en el mono cynomolgus macaca irus (cuvier) /   1960
Cruz Lazcano, Fernando sustentante   Aeropuerto Internacional Tijuana, Baja California /   1960
Cruz Oteo, Salvador sustentante   Informe del servicio social practicado en el Centro de Inseminacion Artificial No.1 de Chapultepec, zona No.3 municipios Tolucay Lerma /   1960
Cruz Padilla, Rodolfo sustentante   Purificacion de nitrato de uranilo por extraccion con metil isobutil cetona /   1960
Cruz Ramirez, Gilberto sustentante   Estudio sobre el montaje, pruebas para el arranque y operacion de la planta termoelectrica de Villahermosa, Tab. /   1960
Cruz y Rocha Gonzalez, Alicia sustentante   Accion de la sulfamethoxipiridazina sobre el Trichurus trichiura /   1960
Cruzado Tron, Javier sustentante   Estudio de los hornos electricos de arco, para la produccion de acero /   1960
Cuadriello Hernandez, Ma. Dolores sustentante   Sintesis de derivados del 6[beta]-fluoroandostano /   1960
Cuellar Ulloa, Raquel sustentante   Evaluacion de algunas pruebas morfologicas y fisiologicas empleadas en la diferenciacion de Actinomycetes /   1960
Cuevas Huizar, Enrique sustentante   Proyecto de un hangar para aviones de tipo pesado /   1960
Damiano Atristain, Antonio sustentante   Palacio Federal y sugestiones urbanisticas en Tapachula, Chis. /   1960
Dardon Bravo, Emilio sustentante   La interpretacion de la ley /   1960
Davila Garza, Silverio sustentante   otacion del carbon en residuos de los hornos del zinc /   1960
Delfin Delfin, Juan Emilio sustentante   Estudio del silicon antiespumante B como auxiliar en el proceso de clarificacion del jugo de cana en las fabricas de azucar /   1960
Delgadillo Verduzco, Adalberto sustentante   El impuesto como instrumento de justicia social /   1960
Delgado Jara, Francisco sustentante   Informe del servicio social en el estado de Tlaxcala /   1960
Delgado Terrazas, Francisco sustentante   Diseno de la estructura de concreto reforzado de un edificio /   1960
Delgado Torres, Aida sustentante   Concentracion de un mineral de alunita de Guanajuato por flotacion /   1960
Desachy Reyna, Blanca Alicia sustentante   Malos habitos bucales /   1960
Díaz Aguilera, José Luis sustentante   La naturaleza juridica del proceso /   1960
Díaz Calderon, Francisco sustentante   Silicones en la industria farmaceutica /   1960
Díaz de la Cruz, Oscar sustentante   La libertad del pensamiento en los medios modernos de difusion : prensa, radio y television /   1960
Díaz de Leon Esqueda, Sirahuen sustentante   Calculos y especificaciones generales del equipo mecanico para una central de vapor en Ciudad Juarez, Chih. /   1960
Díaz del Castillo Rodriguez, Luis Miguel sustentante   El problema agrario en la region de los Tuxltas, Veracruz /   1960
Díaz Galindo, José sustentante   Reglamentacion a las inversiones extranjeras /   1960
Díaz López, Maria Esther sustentante   Reaccion de floculacion de Jirgl, util en el diagnostico de las ictericias por obstruccion /   1960
Díaz Martin, Regina sustentante   Influencia de los amino-acidos en la produccion de antibioticos /   1960
